TableName	Actflag	Created	Changed	BochgID	RelEventID	SecID	ISIN	EffectiveDate	OldOutValue	NewOutValue	EventType	OldOutDate	NewOutDate	Notes
BOCHG	I	2011/11/09	2011/11/09	444611		1674879	JP10228719C2	2009/12/16	2600000.00000	2599528.00000	CORR	2009/12/15	2009/12/15	
BOCHG	I	2011/12/15	2011/12/15	458813		1674879	JP10228719C2	2011/12/15	2599528.00000		REDEM	2009/12/15	2011/12/15	
BOCHG	D	2011/11/09	2011/12/20	444614		1711394	JP1022881A10	2011/03/31	2600000.00000	2649910.00000	CORR	2010/01/15	2011/03/31	
BOCHG	I	2011/12/20	2011/12/20	461262		1711394	JP1022881A10	2010/01/16	2600000.00000	2649910.00000	CORR	2010/01/15	2010/01/15	
BOCHG	I	2012/01/16	2012/01/16	470086		1711394	JP1022881A10	2012/01/15	2649910.00000		REDEM	2010/01/15	2012/01/15	
BOCHG	D	2010/09/23	2011/12/20	300418		1769882	JP1022891A26	2010/09/22	2600000.00000	2691679.00000	CORR	2010/02/15	2010/09/22	
BOCHG	I	2011/12/20	2011/12/20	461266		1769882	JP1022891A26	2010/02/16	2600000.00000	2691679.00000	CORR	2010/02/15	2010/02/15	
BOCHG	I	2012/02/15	2012/02/15	482574		1769882	JP1022891A26	2012/02/15	2691679.00000		REDEM	2010/02/15	2012/02/15	
BOCHG	D	2010/09/28	2011/12/20	302633		1808461	JP1022901A32	2010/06/30	2616728.00000	2638800.00000	CORR	2010/03/15	2010/06/30	
BOCHG	D	2011/11/09	2011/12/20	444604		1808461	JP1022901A32	2011/03/31	2638800.00000	2616728.00000	CORR	2010/06/30	2011/03/31	
BOCHG	I	2012/03/15	2012/03/15	494600		1808461	JP1022901A32	2012/03/15	2616728.00000		REDEM	2010/03/15	2012/03/15	
BOCHG	D	2011/11/09	2011/11/11	444603		1849508	JP1022911A48	2011/03/31	2425.10000	2599535.00000	CORR	2010/04/15	2011/03/31	
BOCHG	I	2011/11/11	2011/11/11	445442		1849508	JP1022911A48	2010/04/16	2425.10000	2599535.00000	CORR	2010/04/15	2010/04/15	
BOCHG	I	2012/04/16	2012/04/16	508708		1849508	JP1022911A48	2012/04/15	2599535.00000		REDEM	2010/04/15	2012/04/15	
BOCHG	D	2011/11/09	2011/12/20	444605		1894707	JP1022921A53	2011/03/31	2600000.00000	2598996.00000	CORR	2010/05/17	2011/03/31	
BOCHG	I	2011/12/20	2011/12/20	461270		1894707	JP1022921A53	2010/05/18	2600000.00000	2598996.00000	CORR	2010/05/17	2010/05/17	
BOCHG	I	2012/05/15	2012/05/15	520797		1894707	JP1022921A53	2012/05/15	2598996.00000		REDEM	2010/05/17	2012/05/15	
BOCHG	D	2011/11/09	2011/12/20	444606		1941650	JP1022931A69	2011/03/31	2406100.00000	2621068.00000	CORR	2010/06/15	2011/03/31	
BOCHG	I	2011/12/20	2011/12/20	461271		1941650	JP1022931A69	2010/06/16	2406100.00000	2621068.00000	CORR	2010/06/15	2010/06/15	
BOCHG	I	2012/06/15	2012/06/15	537333		1941650	JP1022931A69	2012/06/15	2621068.00000		REDEM	2010/06/15	2012/06/15	
BOCHG	D	2011/11/09	2011/12/20	444596		1984085	JP1022941A75	2011/03/31	2600000.00000	2750246.00000	CORR	2010/07/15	2011/03/31	
BOCHG	I	2011/12/20	2011/12/20	461272		1984085	JP1022941A75	2010/07/16	2600000.00000	2750246.00000	CORR	2010/07/15	2010/07/15	
BOCHG	I	2012/07/16	2012/07/16	587633		1984085	JP1022941A75	2012/07/15	2750246.00000		REDEM	2010/07/15	2012/07/15	
BOCHG	D	2011/11/09	2011/12/20	444598		2035530	JP1022951A80	2011/03/31	2600000.00000	2757471.00000	CORR	2010/08/16	2011/03/31	
BOCHG	I	2011/12/20	2011/12/20	461275		2035530	JP1022951A80	2010/08/17	2600000.00000	2757471.00000	CORR	2010/08/16	2010/08/16	
BOCHG	I	2012/08/15	2012/08/15	603732		2035530	JP1022951A80	2012/08/15	2757471.00000		REDEM	2010/08/16	2012/08/15	
BOCHG	D	2011/11/09	2011/11/11	444600		2078709	JP1022961A96	2011/03/31	2596000.00000	2754962.00000	CORR	2010/09/15	2011/03/31	
BOCHG	I	2011/11/11	2011/11/11	445434		2078709	JP1022961A96	2010/09/16	2596000.00000	2754962.00000	CORR	2010/09/15	2010/09/15	
BOCHG	I	2012/09/15	2012/09/15	616114		2078709	JP1022961A96	2012/09/15	2754962.00000		REDEM	2010/09/15	2012/09/15	
BOCHG	I	2012/10/15	2012/10/15	629739		2124964	JP1022971AA2	2012/10/15	2936125.00000		REDEM	2010/10/15	2012/10/15	
BOCHG	I	2011/12/14	2011/12/14	458462		2181754	JP1022981AB9	2010/11/16	2598793.00000	2803193.00000	CORR	2010/11/15	2010/11/15	
BOCHG	I	2012/11/15	2012/11/15	642863		2181754	JP1022981AB9	2012/11/15	2803193.00000		REDEM	2010/11/15	2012/11/15	
BOCHG	I	2012/12/15	2012/12/15	657418		2236214	JP1022991AC6	2012/12/15	2599379.00000		REDEM	2010/12/15	2012/12/15	
BOCHG	I	2013/01/15	2013/01/15	674575		2361147	JP1023001B12	2013/01/15	2967629.00000		REDEM	2011/01/17	2013/01/15	
BOCHG	I	2013/02/15	2013/02/15	689794		2402619	JP1023011B28	2013/02/15	2598883.00000		REDEM	2011/02/15	2013/02/15	
BOCHG	I	2013/03/15	2013/03/15	704496	1081035	2476086	JP1023021B34	2013/03/15	2714751.00000		REDEM	2011/03/15	2013/03/15	
BOCHG	I	2013/04/15	2013/04/15	724296	1104888	2561477	JP1023031B40	2013/04/15	2947935.00000		REDEM	2011/04/15	2013/04/15	
BOCHG	I	2013/05/15	2013/05/15	738161	1129398	2650758	JP1023041B55	2013/05/15	2949469.00000		REDEM	2011/05/16	2013/05/15	
BOCHG	I	2011/12/14	2011/12/14	458473		2745646	JP1023051B60	2011/06/16	2599300.00000	2946400.00000	CORR	2011/06/15	2011/06/15	
BOCHG	I	2013/06/15	2013/06/15	753215	1151013	2745646	JP1023051B60	2013/06/15	2946400.00000		REDEM	2011/06/15	2013/06/15	
BOCHG	I	2013/07/15	2013/07/15	768856	1172147	2798290	JP1023061B76	2013/07/15	2599461.00000		REDEM	2011/07/15	2013/07/15	
BOCHG	I	2013/08/15	2013/08/15	784586	1192097	2901744	JP1023071B82	2013/08/15	2983537.00000		REDEM	2011/08/15	2013/08/15	
BOCHG	I	2013/09/16	2013/09/16	797634	1212750	3025276	JP1023081B98	2013/09/15	2599266.00000		REDEM	2011/09/15	2013/09/15	
BOCHG	I	2013/10/15	2013/10/15	813810	1229013	3132004	JP1023091BA6	2013/10/15	2431868.00000		REDEM	2011/10/17	2013/10/15	
